Geneid	SRR222175	SRR222176	SRR222177	SRR222178
ENSG00000142611	12	9	18	22
ENSG00000284616	0	0	0	0
ENSG00000260972	0	0	0	0
ENSG00000229280	0	0	0	0
ENSG00000232596	0	0	0	0
ENSG00000231510	0	0	0	0
ENSG00000149527	9	4	16	15
ENSG00000272235	0	1	3	10
ENSG00000284694	0	0	0	0
ENSG00000224387	0	0	0	0
ENSG00000284674	0	0	0	0
ENSG00000224338	1	0	0	0
ENSG00000287727	0	0	0	0
ENSG00000215720	0	1	0	1
ENSG00000142606	8	9	11	12
ENSG00000225931	0	3	1	1
ENSG00000229393	0	0	0	0
ENSG00000287586	0	0	0	1
ENSG00000227169	0	0	0	0
ENSG00000283356	0	0	0	0
ENSG00000225387	0	0	0	0
ENSG00000048707	158	206	505	566
ENSG00000225196	0	0	0	0
ENSG00000279625	0	0	0	0
ENSG00000285833	0	0	0	0
ENSG00000280222	1	0	0	0
ENSG00000285945	0	0	0	0
ENSG00000197921	0	0	2	1
ENSG00000284666	0	0	0	0
ENSG00000234397	0	0	0	1
ENSG00000233419	0	0	0	0
ENSG00000225011	0	0	0	0
ENSG00000284676	0	0	0	0
ENSG00000270927	0	0	0	0
ENSG00000230523	0	0	0	0
ENSG00000233234	0	0	0	0
ENSG00000189337	24	119	83	88
ENSG00000283259	0	0	0	0
ENSG00000175147	14	7	8	28
ENSG00000230214	0	0	0	0
ENSG00000272420	1	0	1	2
ENSG00000236648	0	0	0	0
ENSG00000232273	1	0	3	0
ENSG00000130940	59	221	155	169
ENSG00000227527	1	0	1	0
ENSG00000163873	32	14	32	16
ENSG00000117215	4	12	44	16
ENSG00000230163	0	0	0	0
ENSG00000215895	3	2	5	4
ENSG00000274944	0	0	0	0
ENSG00000272078	4	8	1	4
ENSG00000230451	0	0	0	0
ENSG00000231606	0	0	0	2
ENSG00000254553	1	0	0	0
ENSG00000284653	0	0	0	0
ENSG00000237749	1	2	3	11
ENSG00000276747	1	0	0	0
ENSG00000159339	20	8	2	3
ENSG00000261781	0	0	0	0
ENSG00000224751	0	0	0	1
ENSG00000230585	0	0	0	0
ENSG00000117000	61	52	83	129
ENSG00000284989	0	0	0	0
ENSG00000231630	0	0	0	0
ENSG00000255811	0	0	0	0
ENSG00000225671	1	0	2	2
ENSG00000236111	0	0	2	0
ENSG00000116544	10	14	7	9
ENSG00000236723	0	0	0	1
ENSG00000232467	0	0	0	0
ENSG00000237130	0	0	0	0
ENSG00000232335	0	0	0	0
ENSG00000232762	0	0	0	0
ENSG00000284686	1	0	1	0
ENSG00000259818	0	0	0	0
ENSG00000234318	0	0	0	0
ENSG00000227485	0	0	0	0
ENSG00000236646	0	0	0	0
ENSG00000171872	0	0	1	0
ENSG00000163877	82	31	95	90
ENSG00000228929	20	10	37	46
ENSG00000224570	0	0	0	1
ENSG00000224980	0	0	0	3
ENSG00000278967	0	0	1	1
ENSG00000233910	0	0	0	0
ENSG00000287703	1	0	1	2
ENSG00000283039	0	0	0	0
ENSG00000229294	0	0	0	0
ENSG00000236973	0	0	0	1
ENSG00000277397	0	0	0	0
ENSG00000275350	1	0	0	0
ENSG00000285778	0	0	0	0
ENSG00000233407	0	0	0	0
ENSG00000280317	1	0	0	0
ENSG00000233994	1	4	5	8
ENSG00000227556	0	0	0	0
ENSG00000285954	0	0	0	0
ENSG00000233333	0	0	0	0
ENSG00000154027	8	1	6	0
ENSG00000234108	0	0	0	1
ENSG00000232676	0	0	0	1
ENSG00000213579	0	0	0	0
ENSG00000237852	0	0	0	0
ENSG00000270549	0	0	0	1
ENSG00000237163	0	0	0	0
ENSG00000229636	0	0	0	0
ENSG00000116675	16	67	87	114
ENSG00000213625	229	202	446	474
ENSG00000233664	0	0	0	0
ENSG00000213703	0	0	0	1
ENSG00000234144	0	0	0	1
ENSG00000277670	0	0	0	0
ENSG00000227466	0	0	0	0
ENSG00000230498	0	0	0	0
ENSG00000224493	0	0	0	0
ENSG00000131233	0	0	0	0
ENSG00000229225	0	0	0	0
ENSG00000225598	0	0	0	0
ENSG00000286548	0	0	0	4
ENSG00000272094	1	0	0	0
ENSG00000228853	0	0	0	0
ENSG00000288543	0	0	1	0
ENSG00000226084	44	47	182	185
ENSG00000229332	0	0	0	0
ENSG00000227937	0	0	0	0
ENSG00000229752	0	0	0	1
ENSG00000233216	0	0	0	0
ENSG00000226804	0	0	0	0
ENSG00000230728	0	0	0	0
ENSG00000232846	0	0	0	1
ENSG00000230787	0	0	0	0
ENSG00000172260	80	27	100	48
ENSG00000285473	0	0	0	0
ENSG00000234578	0	0	0	0
ENSG00000229505	0	1	0	0
ENSG00000228187	1	0	1	1
ENSG00000182183	4	1	3	6
ENSG00000236407	0	0	0	0
ENSG00000271949	0	0	0	0
ENSG00000227062	0	0	0	0
ENSG00000067334	119	65	226	295
ENSG00000235011	0	0	0	0
ENSG00000213559	0	0	2	0
ENSG00000232882	0	0	0	5
ENSG00000171502	5	3	9	1
ENSG00000116157	9	51	23	52
ENSG00000226960	0	0	0	0
ENSG00000234080	1	8	1	5
ENSG00000285409	0	0	0	0
ENSG00000271723	0	0	0	0
ENSG00000225191	0	0	0	0
ENSG00000287870	0	0	0	0
ENSG00000232048	0	0	0	0
ENSG00000232857	0	0	0	0
ENSG00000273637	0	0	0	0
ENSG00000228838	0	0	0	0
ENSG00000283761	1	1	3	0
ENSG00000233514	3	2	3	2
ENSG00000266993	0	0	2	1
ENSG00000229316	0	0	0	0
ENSG00000234099	0	0	0	0
ENSG00000232752	0	0	0	0
ENSG00000235829	0	0	0	0
ENSG00000143032	0	0	0	0
ENSG00000280040	3	1	1	1
ENSG00000238037	0	0	0	0
ENSG00000227935	0	0	0	0
ENSG00000228502	15	10	55	104
ENSG00000271277	0	0	0	0
ENSG00000236888	0	0	0	0
ENSG00000230828	0	0	0	0
ENSG00000233129	0	0	0	0
ENSG00000237897	0	0	0	0
ENSG00000286692	2	0	0	0
ENSG00000260464	0	0	1	0
ENSG00000231996	0	0	0	0
ENSG00000287756	1	0	0	3
ENSG00000284652	0	0	1	1
ENSG00000228399	3	1	4	1
ENSG00000236776	0	0	0	0
ENSG00000271252	0	0	0	0
ENSG00000235794	0	0	0	0
ENSG00000233983	0	0	0	0
ENSG00000232918	0	0	0	0
ENSG00000183298	8	4	15	15
ENSG00000162699	0	0	0	0
ENSG00000203914	6	7	35	39
ENSG00000270457	0	0	1	0
ENSG00000231987	0	0	0	0
ENSG00000229842	0	0	0	0
ENSG00000198162	57	91	240	302
ENSG00000203864	0	0	0	0
ENSG00000233482	0	0	0	0
ENSG00000232450	0	5	1	4
ENSG00000235038	0	0	0	0
ENSG00000173947	5	1	3	8
ENSG00000279513	0	0	1	2
ENSG00000231072	0	2	0	0
ENSG00000225923	0	0	0	0
ENSG00000134253	10	4	10	14
ENSG00000223416	0	2	1	2
ENSG00000179571	1	0	1	0
ENSG00000227850	0	0	7	8
ENSG00000285532	0	0	0	0
ENSG00000226755	0	0	0	0
ENSG00000277095	0	0	0	0
ENSG00000264145	0	0	0	0
ENSG00000238256	0	0	0	0
ENSG00000198765	2	0	0	0
ENSG00000223489	0	0	0	1
ENSG00000230546	0	0	0	0
ENSG00000213262	0	0	0	0
ENSG00000287015	0	0	0	0
ENSG00000235526	0	0	0	0
ENSG00000228347	0	0	0	0
ENSG00000236012	0	0	0	0
ENSG00000134200	0	0	0	0
ENSG00000226126	0	0	0	0
ENSG00000228453	0	0	0	0
ENSG00000261168	0	0	0	0
ENSG00000233432	0	0	2	6
ENSG00000229911	0	0	0	0
ENSG00000270719	0	0	0	0
ENSG00000155761	0	0	0	0
ENSG00000234422	0	0	0	0
ENSG00000227091	0	0	0	0
ENSG00000230932	0	0	0	0
ENSG00000225036	0	0	1	0
ENSG00000250890	0	0	0	0
ENSG00000232240	0	0	0	0
ENSG00000234388	0	0	0	0
ENSG00000233717	0	0	0	0
ENSG00000163155	5	18	18	48
ENSG00000241975	2	1	2	1
ENSG00000270976	0	0	0	0
ENSG00000228217	0	0	0	2
ENSG00000270342	0	0	0	0
ENSG00000235887	0	0	0	0
ENSG00000235756	0	0	0	0
ENSG00000173810	1	0	1	1
ENSG00000271890	0	0	0	0
ENSG00000283360	0	0	0	2
ENSG00000227970	0	0	0	0
ENSG00000231613	0	0	0	0
ENSG00000236689	0	0	0	0
ENSG00000226028	0	0	0	0
ENSG00000203825	0	0	0	0
ENSG00000233449	0	0	0	0
ENSG00000242943	0	0	0	0
ENSG00000232499	11	9	16	29
ENSG00000232995	6	0	1	4
ENSG00000238087	0	0	0	0
ENSG00000271092	1	1	1	2
ENSG00000232148	0	0	0	0
ENSG00000232952	8	5	17	32
ENSG00000260322	0	0	0	0
ENSG00000225462	0	4	10	7
ENSG00000237756	0	0	0	0
ENSG00000271187	0	0	0	0
ENSG00000231175	0	0	0	0
ENSG00000143185	2	1	8	4
ENSG00000272931	18	2	12	4
ENSG00000225475	1	1	2	0
ENSG00000232223	1	0	0	0
ENSG00000224468	0	2	0	0
ENSG00000232551	0	0	0	0
ENSG00000238270	0	0	0	0
ENSG00000236025	0	0	0	0
ENSG00000230704	0	0	1	0
ENSG00000275767	0	0	0	0
ENSG00000047410	195	174	499	1010
ENSG00000134216	0	0	0	0
ENSG00000230748	0	0	0	0
ENSG00000238108	0	0	0	0
ENSG00000287472	0	0	0	0
ENSG00000241318	0	1	2	6
ENSG00000228238	0	0	0	1
ENSG00000232393	0	0	0	1
ENSG00000184155	0	0	0	0
ENSG00000232917	0	0	0	1
ENSG00000233057	1	4	19	16
ENSG00000143184	1	0	5	3
ENSG00000224691	0	0	0	0
ENSG00000233626	0	0	0	0
ENSG00000231714	0	0	0	0
ENSG00000285638	0	0	0	0
ENSG00000230987	2	0	3	2
ENSG00000228167	0	4	1	2
ENSG00000150732	0	0	0	0
ENSG00000288139	0	0	0	0
ENSG00000238051	0	0	0	0
ENSG00000233196	0	0	0	0
ENSG00000229220	1	0	0	0
ENSG00000227747	0	1	0	0
ENSG00000228081	0	0	0	0
ENSG00000228020	0	0	0	0
ENSG00000234975	49	15	83	53
ENSG00000271427	0	0	0	1
ENSG00000230777	0	1	3	4
ENSG00000179397	1	0	5	2
ENSG00000224540	0	0	0	1
ENSG00000186197	2	0	9	3
ENSG00000229067	0	0	1	0
ENSG00000261182	0	0	0	0
ENSG00000225712	1	5	4	8
ENSG00000162761	4	0	10	0
ENSG00000143199	2	0	1	3
ENSG00000007908	15	60	6	10
ENSG00000274702	0	0	0	0
ENSG00000226211	0	0	0	0
ENSG00000116574	338	107	413	260
ENSG00000225172	0	0	0	0
ENSG00000261642	1	0	0	0
ENSG00000228239	0	0	0	1
ENSG00000237283	1	0	0	0
ENSG00000116132	20	60	32	56
ENSG00000229242	0	0	0	0
ENSG00000234984	0	0	0	0
ENSG00000229983	1	1	0	0
ENSG00000225122	0	0	0	0
ENSG00000225920	0	0	2	3
ENSG00000285718	0	0	0	0
ENSG00000233018	0	0	0	0
ENSG00000224783	0	0	0	0
ENSG00000268062	2	1	4	1
ENSG00000229757	0	0	1	1
ENSG00000220749	3	0	3	1
ENSG00000181450	16	8	45	53
ENSG00000223842	0	0	0	1
ENSG00000143355	0	1	0	2
ENSG00000237193	0	0	0	0
ENSG00000223490	0	0	0	0
ENSG00000162849	4	37	6	16
ENSG00000232824	0	0	1	0
ENSG00000224702	0	0	0	0
ENSG00000271811	4	8	3	0
ENSG00000224278	0	0	0	0
ENSG00000226486	0	0	0	0
ENSG00000227687	0	0	0	0
ENSG00000231814	0	0	0	0
ENSG00000277007	1	1	3	1
ENSG00000229016	0	0	0	0
ENSG00000152104	69	62	84	94
ENSG00000225006	0	0	0	0
ENSG00000223375	0	0	0	0
ENSG00000230714	0	0	0	0
ENSG00000282852	0	0	0	0
ENSG00000232100	1	0	0	1
ENSG00000230547	0	0	0	0
ENSG00000232215	0	0	0	0
ENSG00000278180	0	0	0	0
ENSG00000232341	4	1	4	2
ENSG00000287676	0	0	0	2
ENSG00000236792	1	0	5	3
ENSG00000270859	0	0	0	0
ENSG00000238224	0	0	0	0
ENSG00000237492	0	0	0	0
ENSG00000150681	2	10	9	14
ENSG00000092969	5	25	9	13
ENSG00000250762	1	1	1	0
ENSG00000235083	0	0	0	0
ENSG00000162669	1	0	0	0
ENSG00000225904	0	0	0	0
ENSG00000010932	2	0	7	4
ENSG00000238054	0	0	0	0
ENSG00000281453	0	0	0	0
ENSG00000237469	0	0	0	0
ENSG00000227613	0	0	0	0
ENSG00000116183	21	21	8	42
ENSG00000231612	0	0	0	0
ENSG00000271036	0	0	0	0
ENSG00000226868	0	0	0	0
ENSG00000279401	0	0	0	0
ENSG00000287450	0	0	0	0
ENSG00000237011	0	0	0	0
ENSG00000173728	2	0	1	0
ENSG00000225811	0	0	0	0
ENSG00000273093	0	0	0	0
ENSG00000185523	3	0	0	0
ENSG00000226750	0	0	0	0
ENSG00000285665	3	0	7	6
ENSG00000231022	0	0	0	0
ENSG00000224436	0	0	0	0
ENSG00000234915	2	0	0	0
ENSG00000227585	0	0	0	0
ENSG00000157060	0	0	0	0
ENSG00000237213	0	0	0	0
ENSG00000213045	0	0	0	0
ENSG00000230063	2	0	0	0
ENSG00000235467	0	0	0	0
ENSG00000225338	0	1	2	2
ENSG00000224407	0	0	0	0
ENSG00000232463	0	0	0	0
ENSG00000225171	1	0	5	3
ENSG00000213690	0	0	0	0
ENSG00000229832	0	0	0	0
ENSG00000237514	0	0	0	0
ENSG00000287856	0	1	0	0
ENSG00000224040	0	3	0	1
ENSG00000228686	1	0	0	0
ENSG00000236401	0	0	0	0
ENSG00000215800	0	0	0	0
ENSG00000270936	0	0	0	0
