Geneid	SRR222175	SRR222176	SRR222177	SRR222178	Total_Count
ENSG00000198886	504244	107200	314094	402589	1328127
ENSG00000198804	439936	96972	267771	222680	1027359
ENSG00000210082	369794	42415	189767	144322	746298
ENSG00000198938	312586	78857	154436	144147	690026
ENSG00000198712	273525	72980	150720	181402	678627
ENSG00000198727	269404	66050	117195	128492	581141
ENSG00000198888	219683	86347	134913	131255	572198
ENSG00000198763	130264	39661	97126	121413	388464
ENSG00000198899	158010	25008	80656	106794	370468
ENSG00000162896	48836	73912	79694	70367	272809
ENSG00000211895	11387	71791	120641	19464	223283
ENSG00000198786	100474	13373	52734	36969	203550
ENSG00000211890	4007	41587	123073	24963	193630
ENSG00000211592	13098	47669	104843	24494	190104
ENSG00000075624	27959	44184	36703	36766	145612
ENSG00000198840	55821	20195	40153	29184	145353
ENSG00000105388	17405	40427	18956	45157	121945
ENSG00000212907	36916	9089	20415	44666	111086
ENSG00000198788	7440	62898	8248	31230	109816
ENSG00000248527	36315	8757	22753	30671	98496
